,slope in dB / m,callsign,type
0,-0.03457596630273194,KLM1917,Embraer ERJ
1,-0.029030952472054797,KLM1601,Boeing 737
2,-0.03457596630273194,KLM13H,Embraer ERJ
3,,ITY119,Airbus A319
4,-0.03457596630273194,KLM29L,Embraer ERJ
5,-0.029030952472054797,KLM27E,Boeing 737
6,,LOT7LA,Embraer EMB
7,,AUA3NA,
8,-0.03457596630273194,KLM49K,Embraer ERJ
9,,EJU47RY,Airbus A319
10,,TRA2N,
11,,KLM61B,
12,,KLM56W,
13,,NJE009K,
14,,EJU76YZ,
15,-0.029030952472054797,KLM27J,Boeing 737
16,,KLM45J,
17,-0.03457596630273194,KLM1787,Embraer ERJ
18,,NJE789H,Cessna
19,-0.03457596630273194,KLM40N,Embraer ERJ
20,,KLM60R,
21,-0.03457596630273194,KLM1943,Embraer ERJ
22,-0.03457596630273194,KLM95P,Embraer ERJ
23,-0.029030952472054797,KLM99B,Boeing 737
24,,KLM30A,
25,-0.029030952472054797,TRA5W,Boeing 737
26,-0.03457596630273194,KLM64X,Embraer ERJ
27,,KLM33M,
28,-0.029030952472054797,KLM20C,Boeing 737
29,,AFR1795,Embraer EMB
30,,JVW119,
31,-0.03457596630273194,KLM55Z,Embraer ERJ
32,,KLM39J,
33,-0.02357713737636452,VLG139G,Airbus A320
34,,KLM34G,
35,-0.02357713737636452,EJU13CB,Airbus A320
36,,KLM71N,
37,,SWR2DV,
38,-0.03457596630273194,KLM27U,Embraer ERJ
39,-0.056881130437188426,KLM119,Boeing 777
40,-0.029030952472054797,KLM1775,Boeing 737
41,-0.029030952472054797,KLM93W,Boeing 737
42,-0.03457596630273194,KLM1451,Embraer ERJ
43,-0.029030952472054797,KLM37F,Boeing 737
44,,AUA372A,Embraer EMB
45,-0.029030952472054797,KLM81Y,Boeing 737
46,-0.03457596630273194,KLM1817,Embraer ERJ
47,,RYR8CP,
48,-0.029030952472054797,KLM29M,Boeing 737
49,-0.03457596630273194,KLM1799,Embraer ERJ
50,-0.029030952472054797,KLM94R,Boeing 737
51,-0.02357713737636452,EJU83CQ,Airbus A320
52,-0.029030952472054797,KLM75C,Boeing 737
53,-0.03457596630273194,KLM51T,Embraer ERJ
54,,KLM535,Airbus SAS A330-203
55,-0.056881130437188426,KLM515,Boeing 777
56,-0.056881130437188426,KLM591,Boeing 777
57,-0.03457596630273194,LOT266,Embraer ERJ
58,-0.029030952472054797,KLM41H,Boeing 737
59,,LZB462,
60,-0.056881130437188426,UAE2W,Boeing 777
61,,NCG01,
62,,AFR1341,
63,-0.03457596630273194,KLM45K,Embraer ERJ
64,,KLM627,Airbus SAS A330-303
65,,VLG33V,
66,,SWR9WF,
67,,KLM777,Airbus SAS A330-203
68,-0.029030952472054797,ROT362M,Boeing 737
69,-0.029030952472054797,ELY338,Boeing 737
