,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,path,date_str,datetime,timestamp,coordinates,timestamps
0,Mon 07:13:52 AM,51.505,0.0604,→ 95°,136.0,157.0,,,FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30,"51.505, 0.0604",2025-03-24,2025-03-24 07:13:52,1742800432000,"[51.505, 0.0604]",188027853000
1,Mon 07:14:08 AM,51.5043,0.0751,→ 92°,125.0,144.0,950,"3,047",FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5043, 0.0751",2025-03-24,2025-03-24 07:14:08,1742800448000,"[51.5043, 0.0751]",188027869000
2,Mon 07:14:24 AM,51.5041,0.0909,→ 92°,131.0,151.0,"1,575","1,641",FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5041, 0.0909",2025-03-24,2025-03-24 07:14:24,1742800464000,"[51.5041, 0.0909]",188027885000
3,Mon 07:14:40 AM,51.5055,0.1075,→ 71°,151.0,174.0,"1,825","1,078",FlightAware ADS-B (SEN / EGMC),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5055, 0.1075",2025-03-24,2025-03-24 07:14:40,1742800480000,"[51.5055, 0.1075]",188027901000
4,Mon 07:14:56 AM,51.5104,0.1241,↗ 53°,169.0,194.0,"2,150","1,313",FlightAware ADS-B (EGML),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5104, 0.1241",2025-03-24,2025-03-24 07:14:56,1742800496000,"[51.5104, 0.1241]",188027917000
5,Mon 07:15:12 AM,51.5207,0.1376,↗ 30°,186.0,214.0,"2,525","1,547",FlightAware ADS-B (LCY / EGLC),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5207, 0.1376",2025-03-24,2025-03-24 07:15:12,1742800512000,"[51.5207, 0.1376]",188027933000
6,Mon 07:15:28 AM,51.5341,0.1485,↗ 26°,205.0,236.0,"2,975","2,045",FlightAware ADS-B (LHR / EGLL),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5341, 0.1485",2025-03-24,2025-03-24 07:15:28,1742800528000,"[51.5341, 0.1485]",188027949000
7,Mon 07:15:45 AM,51.5485,0.1598,↗ 30°,208.0,239.0,"3,650","1,591",FlightAware ADS-B (EGTR),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5485, 0.1598",2025-03-24,2025-03-24 07:15:45,1742800545000,"[51.5485, 0.1598]",188027966000
8,Mon 07:16:01 AM,51.5589,0.1776,↗ 61°,206.0,237.0,"3,850",353,FlightAware ADS-B (EGWE),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5589, 0.1776",2025-03-24,2025-03-24 07:16:01,1742800561000,"[51.5589, 0.1776]",188027982000
9,Mon 07:16:19 AM,51.5687,0.1994,↗ 37°,211.0,243.0,"3,850","1,278",FlightAware ADS-B (EGTR),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5687, 0.1994",2025-03-24,2025-03-24 07:16:19,1742800579000,"[51.5687, 0.1994]",188028000000
10,Mon 07:16:55 AM,51.5995,0.2312,↗ 33°,240.0,276.0,"5,000","1,760",FlightAware ADS-B (EGLW),Arrivals,CFE8489,2025-03-24 13:04:30,"51.5995, 0.2312",2025-03-24,2025-03-24 07:16:55,1742800615000,"[51.5995, 0.2312]",188028036000
11,Mon 07:17:11 AM,51.6148,0.247,↗ 33°,256.0,295.0,"5,375","1,456",FlightAware ADS-B (EGML),Arrivals,CFE8489,2025-03-24 13:04:30,"51.6148, 0.247",2025-03-24,2025-03-24 07:17:11,1742800631000,"[51.6148, 0.247]",188028052000
12,Mon 07:17:29 AM,51.6328,0.266,↗ 34°,259.0,298.0,"5,825","1,467",FlightAware ADS-B (LGW / EGKK),Arrivals,CFE8489,2025-03-24 13:04:30,"51.6328, 0.266",2025-03-24,2025-03-24 07:17:29,1742800649000,"[51.6328, 0.266]",188028070000
13,Mon 07:17:56 AM,51.6614,0.2952,↗ 32°,267.0,307.0,"6,475","1,356",FlightAware ADS-B (CQF / LFAC),Arrivals,CFE8489,2025-03-24 13:04:30,"51.6614, 0.2952",2025-03-24,2025-03-24 07:17:56,1742800676000,"[51.6614, 0.2952]",188028097000
14,Mon 07:18:21 AM,51.6879,0.3218,↗ 32°,265.0,305.0,"7,000",643,FlightAware ADS-B (STN / EGSS),Arrivals,CFE8489,2025-03-24 13:04:30,"51.6879, 0.3218",2025-03-24,2025-03-24 07:18:21,1742800701000,"[51.6879, 0.3218]",188028122000
15,Mon 07:18:45 AM,51.7111,0.3455,↗ 32°,264.0,304.0,"7,000",,FlightAware ADS-B (LHR / EGLL),Arrivals,CFE8489,2025-03-24 13:04:30,"51.7111, 0.3455",2025-03-24,2025-03-24 07:18:45,1742800725000,"[51.7111, 0.3455]",188028146000
16,Mon 07:19:09 AM,51.7362,0.3709,↗ 32°,263.0,303.0,"7,000",778,FlightAware ADS-B (RCS / EGTO),Arrivals,CFE8489,2025-03-24 13:04:30,"51.7362, 0.3709",2025-03-24,2025-03-24 07:19:09,1742800749000,"[51.7362, 0.3709]",188028170000
17,Mon 07:19:39 AM,51.7677,0.4026,↗ 32°,268.0,308.0,"7,700","1,781",FlightAware ADS-B (EGMT),Arrivals,CFE8489,2025-03-24 13:04:30,"51.7677, 0.4026",2025-03-24,2025-03-24 07:19:39,1742800779000,"[51.7677, 0.4026]",188028200000
18,Mon 07:19:57 AM,51.7835,0.4255,↗ 56°,272.0,313.0,"8,425","2,735",FlightAware ADS-B (ESH / EGKA),Arrivals,CFE8489,2025-03-24 13:04:30,"51.7835, 0.4255",2025-03-24,2025-03-24 07:19:57,1742800797000,"[51.7835, 0.4255]",188028218000
